Nell;Mary Ann Evans;Circulo Lectores;;;;;21/01/2008;
Claro de Luna;Nora Roberts;Circulo Lectores;;;;;21/01/2008;
El Cielo Protector;Paúl Bowles;Circulo Lectores;;;;;21/01/2008;
Extraños Arrebatos de Amor y de Ira;Anita Shreve;Circulo Lectores;;;;;21/01/2008;
La Ciudad y los Perros;Mario Vargas Llosa;Editorial Orbis;;;;;21/01/2008;
El Bosque de los Pigmeos;Isabel Allende;Debolsillo;;;;;21/01/2008;
Malas Tierras;Jordi Sierra i Fabra;Gran Angular;;;;;23/01/2008;
Hijo de un Traidor;Werner Raith;Paralelo Cero;;;;;23/01/2008;
Los 10 Secretos de la Abundante Felicidad;Adan J. Jackson;Editorial Sirid S.A.;;;;;23/01/2008;
El Húsar;Arturo Pérez Reverte;Akal;;;;;23/01/2008;
Manolito Gafotas;Elvira Lindo;Alfaguara;;;;;23/01/2008;
la Amenaza de Andrómeda;Michael Crichton;Grupo Correo;;;;;23/01/2008;
Utopía y Contrautopía;Ramón Tamames;Plaza y Janez;;;;;23/01/2008;
El Comité de la Muerte;Noah Gordon;Ediciones Bolsillo;;;;;23/01/2008;
Enigmas Históricos al Descubierto;Cesar Vidal;Booket;;;;;23/01/2008;
Ansia de Amor;Danielle Steel;M. Roca;;;;;23/01/2008;
Albún de Familia;Danielle Steel;Circulo Lectores;;;;;23/01/2008;
Una Vez en la Vida;Danielle Steel;Circulo Lectores;;;;;23/01/2008;
Le Gusta la Música, le Gusta Bailar;Mary Higgins Clark;Circulo Lectores;;;;;23/01/2008;
Soy la Madre;Carmen Conde;Planeta;;;;;23/01/2008;
Yo, Tu Madre;Christiane Collange;Circulo Lectores;;;;;23/01/2008;
Obras Completas;Camilo José Cela;Ediciones Destino;;;;;23/01/2008;
El Descenso de Xanadu;Harold Robbins;Planeta;;;;;23/01/2008;
Un Grito en la Noche;Mary Higgins Clark;Circulo Lectores;;;;;23/01/2008;
La Isla de las Tres Sirenas;Irving Wallace;Circulo Lectores;;;;;23/01/2008;
Semillas del Ayer;V.C. Andrews;Circulo Lectores;;;;;23/01/2008;
El Emperador;Frederick Forsth;Circulo Lectores;;;;;23/01/2008;
Mascaras del Tiempo;Marius Gabriel;Top Emece;;;;;23/01/2008;
Sangre Inocente;P.D. James;Circulo Lectores;;;;;23/01/2008;
El Sobrino del Mago;C.S. Lewis;Destino;;;;;13/02/2008;Crónicas de Narmia 1
El León la Bruja y el Armario;C.S. Lewis;Destino;;;;;13/02/2008;Crónicas de Narmia 2
el Caballo y el Muchacho;C.S. Lewis;Destino;;;;;13/02/2008;Crónicas de Narmia 3
El Príncipe Caspian;C.S. Lewis;Destino;;;;;13/02/2008;Crónicas de Narmia 4
La Travesía del Viajero del Alba;C.S. Lewis;Destino;;;;;13/02/2008;Crónicas de Narmia 5
La Silla de Plata;C.S. Lewis;Destino;;;;;13/02/2008;Crónicas de Narmia 6
La Última Batalla;C.S. Lewis;Destino;;;;;13/02/2008;Crónicas de Narmia 7
Voces del Silencio;Tabitha Kine y Michael Mc. Dowell;Minotauro;;;;;13/02/2008;
Harry Potter y las Reliquias de la Muerte;J.K. Rowling;Salamandra;;;;;03/03/2008;
La Misma Canción;Mary Higgins Clark;Plaza y Janez;;;;;03/03/2008;
La dama y el Unicornio;Tracy Chevalier;Santillana;;;;;03/03/2008;
Los Misterios de la Abadía;Alys Clare;Planeta;;;;;03/03/2008;
El Retorno Cátaro;Jorge Molist;M. Roca;;;;;03/03/2008;
Superar el Estrés;Alix Kirsta;Integral;;;;;03/03/2008;
El Anillo;Jorge Molist;M. Roca;;;;;03/03/2008;
El Médico del Emperador;Tessa Korber;Ediciones B;;;;;03/03/2008;
Los Enclaves Templarios;Juan G. Atienza;Booket;;;;;31/03/2008;
¡ Puedo Adelgazar!;Susana Moreneo;Booket;;;;;31/03/2008;
Las Cinco Personas que Encontraras en el cielo;Mitch Albon;Maeva;;;;;31/03/2008;
El Pintor de Batallas;Arturo Pérez Reverte;Alfaguara;;;;;31/03/2008;
El Amante de Lady Chatherley;D.H. Lawrence;Alianza Editorial;;;;;31/03/2008;
Una Vida;Guy Maupassant;De Bolsillo;;;;;31/03/2008;
La Conjura;David Liss;De Bolsillo;;;;;31/03/2008;
La Casa;Danielle Stell;Plaza y Janez;;;;;31/03/2008;
Anticáncer-una Nueva Forma de Vida;Dr. David Servan-Schrever;Espasa;;;;;31/03/2008;
C. Cervera La Baronesa;Teo Lozano y Goya Ruiz;Temas de Hoy;;;;;31/03/2008;
Sucedió en el AVE;Víctor Saltero;IS Editorial;;;;;14/04/2008;Repetido
El Último Don;Mario Puzo;Grupo Correo;;;;;14/04/2008;
EL Engaño de Beth Loring;Fernando Schwartz;Planeta;;;;;14/04/2008;
La Cocina de Saber Vivir;Sergio Fernández Luque;Saber Vivir;;;;;19/04/2008;
Para que no te Enferme el Corazón;Dr. Alfonso Castro Beiras;Saber Vivir;;;;;19/04/2008;
El Juego del Ángel;Carlos Ruiz Zafón;Planeta;;;;;19/04/2008;
El Ritual de las doncellas;José Calvo Poyato;Plaza y Janes;;;;;19/04/2008;
El Último Judío;Noah Gordon;De Bolsillo;;;;;19/04/2008;
La Elipse Templaría;Abel Caballero;Planeta;;;;;19/04/2008;
El Asombroso Viaje de Pomponio Flato;Eduardo Mendoza;Seix Barral;;;;;21/05/2008;
El Laberinto de la rosa;Titania Hardie;Suma;;;;;21/05/2008;
Ricas y Famosas;Pilar Eyre;La Esfera;;;;;09/07/2008;
Arkatz Fantastikoa;Joles Sennell;Elka Parkean;;;;;09/07/2008;
Errusika;María Asun Landa Etxebeste;Elka Parkean;;;;;09/07/2008;
Julieta Romeo eta Saguak;María Asun Landa Etxebeste;Elka Parkean;;;;;09/07/2008;
Hilobi Hutsalen Misterioak;Stefan Wolf;Susaeta;;;;;09/07/2008;
Con la Cabeza a Pájaros;José Antonio del Cañizo;SM;;;;;09/07/2008;
Cucho;José Luis Olaizola;SM;;;;;09/07/2008;
Abuelita opalina;María Puncel;SM;;;;;09/07/2008;
Un Solo Clarinete;Fernando Almena;SM;;;;;09/07/2008;
El Tercer Reich;H. S. Hegner;Circulo Lectores;;;;;09/07/2008;
Chis y Garabís;Paloma Bordons;SM;;;;;01/09/2008;
La Hormiga Higa se Desmiga;Emeli Teixidor;SM;;;;;01/09/2008;
Ikustezinak;R.L. Stine;Ediciones B;;;;;01/09/2008;
Begigorritarren Erlojua;Yolanda Arrieta Malaxetxebarria;SM;;;;;01/09/2008;
Bihotz Ausarta;Joanes Urkixo;Alfaguara;;;;;01/09/2008;
La Noria de Morit;Mira Lobe;Circulo Lectores;;;;;01/09/2008;
Kiatoski y el Caso de Tiovivo Azul;Jürgen Banscherus;SM;;;;;01/09/2008;
Augusto eta Agustina Pailazoak;Otfried Preussler;SM;;;;;01/09/2008;
Sam-en Altxorra;Mª Teresa Aretzaga;Edebé-Giltza;;;;;01/09/2008;
Josu Azalaren Abenturak;Iñaki Zubeldia;Costaro Bilduma;;;;;01/09/2008;
Willow;Waylan Drew;Planeta;;;;;01/09/2008;
Cuentos de Futbol;Varios Autores;Fnac;;;;;01/09/2008;
Marina;Carlos Ruiz Zafón;Planeta;;;;;10/09/2008;
Maddi la Verdad de la Mentira;Gonçalo Amaral;Esquilo;;;;;22/09/2008;
La Ladrona de Libros;Markus Zusak;Lumen;;;;;06/10/2008;
Una Muerte sin Nombre;Patricia Cornwell;RBA;;;;;13/10/2008;
Los Gritos del Pasado;Camilla Läckberg;Maeva;;;;;15/10/2008;
Días del Arenal;Soledad Puertotas;Planeta;;;;;15/10/2008;
La Apelación;John Grisham;Plaza y Janes;;;;;29/10/2008;
El Verdugo de Dios;Toti Martínez de Leza;Maeva;;;;;29/10/2008;
La Abadesa;Toti Martínez de Leza;Maeva;;;;;29/10/2008;
La Suerte de Fátima;Joanne y Gerry Dryansky;Grijalbo;;;;;29/10/2008;
Dios es una Dama con Moño;Isabel Camblor;Planeta;;;;;29/10/2008;
Punto de Partida;Patricia Cornwell;RBA;;;;;03/11/2008;
El Infinito en la Palma de la Mano;Gioconda Belli;Seix Barral;;;;;03/11/2008;
La reina muy de Cerca;Pilar Urbano;Planeta;;;;;03/11/2008;
Muerte entre Poetas;Ángela Vallvey;Planeta;;;;;19/11/2008;
Los hombres que no Amaban a las Mujeres;Stieg Larsson;Destino;;;;;19/11/2008;
Hermandad de la Buena Suerte;Fernando Savater;Planeta;;;;;10/12/2008;
Por quien doblan las campanas;Ernest Heningway;Omnibus;;;;;10/12/2008;
La flor de la Argoma;Toti Martínez de Leza;Erein;;;;;17/12/2008;
La Potencia del Uno;Bryce Courtenay;Circulo Lectores;;;;;17/12/2008;
Como Desarrollar uno Mismo capacidad Cerebral;Miriam y Otto Chrenberg;Edaf bolsillo;;;;;19/01/2009;
La Chica que Soñaba con una Cerilla y un Bidón de Gasolina;Stieg Larsson;Destino;;;;;19/01/2009;
Soria Moria;Espido Freire;Algaida;;;;;19/01/2009;
Ángeles en la Hoguera;Janine Garrisson;Maeva;;;;;19/01/2009;
La Dinastía de la Emperatriz;Pilar de Aristegui;Ediciones B;;;;;21/01/2009;
El Hijo Bastardo de Eddie;Willian Kowalski;Ediciones B;;;;;21/01/2009;
La Herejía;Romain Sarddu;Grijalbo;;;;;21/01/2009;
La Repudiada;Eliette Abécassis;Circulo Lectores;;;;;21/01/2009;
El Dueño de la Herida;Antonio Gala;Planeta;;;;;21/01/2009;
hija del Tibet;Rinchen Dolma Taring;Circulo Lectores;;;;;21/01/2009;
Jaione;Dorleta Urretabizkaia;Eleberria;;;;;21/01/2009;
Historia del Rey Transparente;Rosa Montero;Santillana;;;;;21/01/2009;
El Fuego;Katherine Neville;Plaza y Janes;;;;;09/02/2009;
Rendición;Connie Brockway;Bolsillo;;;;;09/02/2009;
La Maquina de Ajedrez;Robert Löhr;Bolsillo;;;;;09/02/2009;
Cuentos desde el Reino del Peligroso;J.R.R. Tolkien;Minotauro;;;;;09/03/2009;
La joya de Medina;Sherry Jones;Ediciones B;;;;;09/03/2009;
Camposanto;Iker Jiménez;Suma;;;;;26/04/2009;
¿Dónde te Escondes?;Mary Higgins Clark;Plaza y Janes;;;;;27/04/2009;
El Mundo según Garp;Jonh Irving;Circulo Lectores;;;;;27/04/2009;
La Elegancia del erizo;Muriel Barbery;Circulo Lectores;;;;;29/04/2009;
Motín en la Bounty;John Boyne;Salamandra;;;;;11/05/2009;
La Novia de Matisse;Manuel Vicent;Circulo Lectores;;;;;01/06/2009;
La Reina en el Palacio de las Corrientes;Stieg Larson;Mileniun3;;;;;17/06/2009;
Perlas para un Collar;Toti Martínez de Leza;Suma;;;;;22/06/2009;
La Mano de Fátima;Ildefonso Falcones;Grijalbo;;;;;22/06/2009;
Tres Metros sobre el Cielo;Federico Moccia;Debolsillo;;;;;27/07/2009;
Algo tan Parecido al Amor;Carmen Amoraga;Booket;;;;;27/07/2009;
El Apóstol Nº 13;Michel Benoit;Debolsillo;;;;;27/07/2009;
Cometas en el Cielo;Khaled Hosseini;Letra de Bolsillo;;;;;27/07/2009;
La doctora Cole;Noah Gordon;Rocabolsillo;;;;;27/07/2009;
El Chino;Henning Mankell;Tusquets;;;;;26/08/2009;
El Sendero del Amor;Jill Marie Landis;Cisne;;;;;26/08/2009;
Posdata: te Amo;Cecilia Ahern;Circulo Lectores;;;;;14/09/2009;
La Infancia;Penélope Leach;Circulo Lectores;;;;;14/09/2009;
El jardinero Fiel;John Le Carré;Debolsillo;;;;;14/09/2009;
El Bazar de los Sueños;Jojo Moyes;Debolsillo;;;;;14/09/2009;
El Profesional;John Grisham;Debolsillo;;;;;14/09/2009;
Secretos y Sombras;Mary Nickson;Debolsillo;;;;;14/09/2009;
El Precio del Amor;Danielle Steel;Debolsillo;;;;;14/09/2009;
Relajación Total;Dr. Kai Kermani;Robinbook;;;;;16/09/2009;
Ejercicios de Relajación;Dietrich Layen;Circulo Lectores;;;;;16/09/2009;
La Felicidad Inminente;Pedro Salinas;B.del Mundo;;;;;16/09/2009;
La Cruz de Santiago;Eduardo Chamorro;Planeta;;;;;16/09/2009;
Pilates;Mari Winsor y Mark Laska;Cuerpomente;;;;;23/09/2009;
El Gran Libro del Yoga;Ramiro Calle;Cuerpomente;;;;;23/09/2009;
El Amuleto;Bárbara Wood;Debolsillo;;;;;23/09/2009;
Un Viñedo en la Toscana;Ferenc Maté;Seix Barral;;;;;05/10/2009;
Coltan;Alberto Vázquez Figueroa;Zeta;;;;;05/10/2009;
La Soledad de los Números Primos;Paolo Giordano;Salamandra;;;;;05/10/2009;
La Isla Bajo el Mar;Isabel Allende;Plaza y Janes;;;;;07/10/2009;
Escándalos del Pasado;Marqeset Way;Plaza y Janes;;;;;07/10/2009;
Lo Opuesto al Amor;Julie Buxbaun;Circulo Lectores;;;;;07/10/2009;
La Mujer de la Rivera;Jude Deveraux;RBA;;;;;02/11/2009;
El Enigma Vivaldi;Peter Harris;Circulo Lectores;;;;;02/11/2009;
Maldito Karma;David Safier;Seix Barral;;;;;04/11/2009;
Diario de una Adicta al Sexo;Amber Stephens;Vergara;;;;;04/11/2009;
La Mecánica del Corazón;Mathias Malzieu;Mondadori;;;;;04/11/2009;
El Hombre Inquieto;Henning Mankell;Tusquets;;;;;09/11/2009;
Aurora Boreal;Asa Larsson;Seix Barral;;;;;04/01/2010;
Desde Mi Cielo;Alice Sebold;Debolsillo;;;;;04/01/2010;
El Símbolo Perdido;Dan Brown;Circulo Lectores;;;;;04/01/2010;
