El Cielo Protector;Paúl Bowles;Circulo Lectores;null;null;null;null;1999-12-31;
Extraños Arrebatos de Amor y de Ira;Anita Shreve;Circulo Lectores;null;null;null;null;1999-12-31;
La Ciudad y los Perros;Mario Vargas Llosa;Editorial Orbis;null;null;null;null;1999-12-31;
El Bosque de los Pigmeos;Isabel Allende;Debolsillo;null;null;null;null;1999-12-31;
Malas Tierras;Jordi Sierra i Fabra;Gran Angular;null;null;null;null;1999-12-31;
Hijo de un Traidor;Werner Raith;Paralelo Cero;null;null;null;null;1999-12-31;
Los 10 Secretos de la Abundante Felicidad;Adan J. Jackson;Editorial Sirid S.A.;null;null;null;null;1999-12-31;
El Húsar;Arturo Pérez Reverte;Akal;null;null;null;null;1999-12-31;
Manolito Gafotas;Elvira Lindo;Alfaguara;null;null;null;null;1999-12-31;
la Amenaza de Andrómeda;Michael Crichton;Grupo Correo;null;null;null;null;1999-12-31;
Utopía y Contrautopía;Ramón Tamames;Plaza y Janez;null;null;null;null;1999-12-31;
El Comité de la Muerte;Noah Gordon;Ediciones Bolsillo;null;null;null;null;1999-12-31;
Enigmas Históricos al Descubierto;Cesar Vidal;Booket;null;null;null;null;1999-12-31;
Ansia de Amor;Danielle Steel;M. Roca;null;null;null;null;1999-12-31;
Albún de Familia;Danielle Steel;Circulo Lectores;null;null;null;null;1999-12-31;
Una Vez en la Vida;Danielle Steel;Circulo Lectores;null;null;null;null;1999-12-31;
Le Gusta la Música, le Gusta Bailar;Mary Higgins Clark;Circulo Lectores;null;null;null;null;1999-12-31;
Soy la Madre;Carmen Conde;Planeta;null;null;null;null;1999-12-31;
Yo, Tu Madre;Christiane Collange;Circulo Lectores;null;null;null;null;1999-12-31;
Obras Completas;Camilo José Cela;Ediciones Destino;null;null;null;null;1999-12-31;
El Descenso de Xanadu;Harold Robbins;Planeta;null;null;null;null;1999-12-31;
Un Grito en la Noche;Mary Higgins Clark;Circulo Lectores;null;null;null;null;1999-12-31;
La Isla de las Tres Sirenas;Irving Wallace;Circulo Lectores;null;null;null;null;1999-12-31;
Semillas del Ayer;V.C. Andrews;Circulo Lectores;null;null;null;null;1999-12-31;
El Emperador;Frederick Forsth;Circulo Lectores;null;null;null;null;1999-12-31;
Mascaras del Tiempo;Marius Gabriel;Top Emece;null;null;null;null;1999-12-31;
Sangre Inocente;P.D. James;Circulo Lectores;null;null;null;null;1999-12-31;
El Sobrino del Mago;C.S. Lewis;Destino;null;null;null;null;1999-12-31;Crónicas de Narmia 1
El León la Bruja y el Armario;C.S. Lewis;Destino;null;null;null;null;1999-12-31;Crónicas de Narmia 2
el Caballo y el Muchacho;C.S. Lewis;Destino;null;null;null;null;1999-12-31;Crónicas de Narmia 3
El Príncipe Caspian;C.S. Lewis;Destino;null;null;null;null;1999-12-31;Crónicas de Narmia 4
La Travesía del Viajero del Alba;C.S. Lewis;Destino;null;null;null;null;1999-12-31;Crónicas de Narmia 5
La Silla de Plata;C.S. Lewis;Destino;null;null;null;null;1999-12-31;Crónicas de Narmia 6
La Última Batalla;C.S. Lewis;Destino;null;null;null;null;1999-12-31;Crónicas de Narmia 7
Voces del Silencio;Tabitha Kine y Michael Mc. Dowell;Minotauro;null;null;null;null;1999-12-31;
Harry Potter y las Reliquias de la Muerte;J.K. Rowling;Salamandra;null;null;null;null;2008-3-3;
La Misma Canción;Mary Higgins Clark;Plaza y Janez;null;null;null;null;2008-3-3;
La dama y el Unicornio;Tracy Chevalier;Santillana;null;null;null;null;2008-3-3;
